Sample ID	Experiment ID	Run ID	Sample Description	No. reads (Spots)	Layout	Read Length (bp)
SRS4806805	SRX5884275	SRR9109972	Spermatogonia	1,903,534	PAIRED	101+101
SRS4806805	SRX5884275	SRR9109973	Spermatogonia	1,970,293	PAIRED	101+101
SRS4806805	SRX5884275	SRR9109974	Spermatogonia	1,921,483	PAIRED	101+101
SRS4806805	SRX5884275	SRR9109975	Spermatogonia	1,863,006	PAIRED	101+101
SRS4806806	SRX5884276	SRR9109976	Spermatogonia	1,388,746	PAIRED	101+101
SRS4806806	SRX5884276	SRR9109977	Spermatogonia	1,449,779	PAIRED	101+101
SRS4806806	SRX5884276	SRR9109978	Spermatogonia	1,407,653	PAIRED	101+101
SRS4806806	SRX5884276	SRR9109979	Spermatogonia	1,358,910	PAIRED	101+101
SRS4806807	SRX5884277	SRR9109980	Spermatogonia	1,496,410	PAIRED	101+101
SRS4806807	SRX5884277	SRR9109981	Spermatogonia	1,543,277	PAIRED	101+101
SRS4806807	SRX5884277	SRR9109982	Spermatogonia	1,507,966	PAIRED	101+101
SRS4806807	SRX5884277	SRR9109983	Spermatogonia	1,463,399	PAIRED	101+101
SRS4806808	SRX5884278	SRR9109984	Spermatogonia	5,582,254	PAIRED	101+101
SRS4806808	SRX5884278	SRR9109985	Spermatogonia	5,808,728	PAIRED	101+101
SRS4806808	SRX5884278	SRR9109986	Spermatogonia	5,632,184	PAIRED	101+101
SRS4806808	SRX5884278	SRR9109987	Spermatogonia	5,480,939	PAIRED	101+101
SRS4806809	SRX5884279	SRR9109988	Spermatogonia	3,798,273	PAIRED	101+101
SRS4806809	SRX5884279	SRR9109989	Spermatogonia	3,916,777	PAIRED	101+101
SRS4806809	SRX5884279	SRR9109990	Spermatogonia	3,840,076	PAIRED	101+101
SRS4806809	SRX5884279	SRR9109991	Spermatogonia	3,721,846	PAIRED	101+101
SRS4806810	SRX5884280	SRR9109992	Spermatogonia	3,637,554	PAIRED	101+101
SRS4806810	SRX5884280	SRR9109993	Spermatogonia	3,746,907	PAIRED	101+101
SRS4806810	SRX5884280	SRR9109994	Spermatogonia	3,663,639	PAIRED	101+101
SRS4806810	SRX5884280	SRR9109995	Spermatogonia	3,569,151	PAIRED	101+101
