Sample ID	Experiment ID	Run ID	Sample Description	No. reads (Spots)	Layout	Read Length (bp)
ERS2028800	ERX2263021	ERR2208663	mouse embryonic fibroblast cell embryonic day 13.5	40,395,897	SINGLE	50
ERS2028801	ERX2263022	ERR2208664	mouse embryonic fibroblast cell embryonic day 13.5	42,742,535	SINGLE	50
ERS2028802	ERX2263023	ERR2208665	mouse embryonic fibroblast cell embryonic day 13.5	40,998,226	SINGLE	50
ERS2028803	ERX2263024	ERR2208666	mouse embryonic fibroblast cell embryonic day 13.5	40,463,509	SINGLE	50
ERS2028804	ERX2263025	ERR2208667	mouse embryonic fibroblast cell embryonic day 13.5	38,842,243	SINGLE	50
ERS2028805	ERX2263026	ERR2208668	mouse embryonic fibroblast cell embryonic day 13.5	40,430,917	SINGLE	50
ERS2028806	ERX2263027	ERR2208669	mouse embryonic fibroblast cell embryonic day 13.5	36,195,143	SINGLE	50
ERS2028807	ERX2263028	ERR2208670	mouse embryonic fibroblast cell embryonic day 13.5	42,618,431	SINGLE	50
ERS2028808	ERX2263029	ERR2208671	mouse embryonic fibroblast cell embryonic day 13.5	43,967,544	SINGLE	50
ERS2028809	ERX2263030	ERR2208672	mouse embryonic fibroblast cell embryonic day 13.5	39,745,883	SINGLE	50
ERS2028810	ERX2263031	ERR2208673	mouse embryonic fibroblast cell embryonic day 13.5	41,924,916	SINGLE	50
ERS2028811	ERX2263032	ERR2208674	mouse embryonic fibroblast cell embryonic day 13.5	40,326,111	SINGLE	50
