Sample ID	Experiment ID	Run ID	Sample Description	No. reads (Spots)	Layout	Read Length (bp)
SRS367445	SRX192253	SRR581018	liver	106,959,657	SINGLE	51
SRS367446	SRX192254	SRR581019	liver	84,324,878	SINGLE	51
SRS367447	SRX192255	SRR581020	liver	70,501,656	SINGLE	51
SRS367453	SRX192261	SRR581026	liver	16,664,110	PAIRED	110
SRS367459	SRX192267	SRR581032	liver	28,874,920	PAIRED	110
SRS367460	SRX192268	SRR581033	liver	21,563,601	PAIRED	110
SRS367461	SRX192269	SRR581034	liver	27,424,374	PAIRED	110
SRS367448	SRX192256	SRR581021	liver	63,606,359	SINGLE	51
SRS367450	SRX192258	SRR581023	liver	20,609,955	PAIRED	110
SRS367451	SRX192259	SRR581024	liver	15,402,183	PAIRED	110
SRS367452	SRX192260	SRR581025	liver	19,944,261	PAIRED	110
SRS367458	SRX192266	SRR581031	liver	25,871,870	PAIRED	110
